id,adresse,postcode,city
"67622","rue de l'Epine-Zone Industrielle d'Etriché 49500 Segré en Anjou bleu","49500","Segré en Anjou bleu"
"67758","81 Rue de France Chez Régus 06048 Nice Cedex 1","06048","Nice Cedex 1"
"67801","-219 boulevard Macdonald 75019 Paris","75019","Paris"
"69149","Zone Artisanale du Triangle Vert 35520 La Mézière","35520","La Mézière"
"69743","mas El Cortal de l'Aloy 66150 Corsavy","66150","Corsavy"
"70324","ZAC des Cerisiers 69380 Lozanne","69380","Lozanne"
"70742","lieudit le Camp Bon 83143 Le val","83143","Le val"
"70825","rue du Champs aux Oiseaux ZA du Moulin Blanc 59230 Saint Amand les Eaux","59230","Saint Amand les Eaux"
"70946","- Route Nationale 1 95570 Moisselles","95570","Moisselles"
"71979","-2 cours du Buisson 77186 Noisiel","77186","Noisiel"
"72381","1 route Digue le Butor 97490 Saint-Denis","97490","Saint-Denis"
"73858","37 bis rue du Stade Appt 1 - Résidence le Callista 97425 Les Avirons","97425","Les Avirons"
"74135","16 boulevard Charles de Gaulle Zac des Moulinets Bât A 44800 Saint Herblain","44800","Saint Herblain"
"74485","5 immeuble le Reflet 97170 Petit-Bourg","97170","Petit-Bourg"
"75105","-zone d'Activité-La Rigourdière 35510 Cesson-Sévigné","35510","Cesson-Sévigné"
"75177","1 rue de la Vallée Monnaie Centre Ccial des Trois Cités 86000 Poitiers","86000","Poitiers"
"75202","“Les Opinions” 72210 Roézé-sur-Sarthe","72210","Roézé-sur-Sarthe"
"75967","rue Brunehaut - Zac Nord 60130 St Just en Chaussee","60130","St Just en Chaussee"
"76034","avenue de Lézignan - Zone Artisanale la Plaine 11200 Canet","11200","Canet"
"76928","rue du Plateau - ZA de la Vallée Douard 28500 Cherisy","28500","Cherisy"
"77001","Zone Pro Bac Pays Noyé 97224 Ducos","97224","Ducos"
"79785","938 Bis le Bourg 33550 Haux","33550","Haux"
"80154","1b rue des Maréchales - Zone des 3 Marchés 35132 Vezin-le-Coquet","35132","Vezin-le-Coquet"
"80553","81 Rue de France Chez Régus 06048 Nice Cedex 1","06048","Nice Cedex 1"
"80821","17 rue des Fontenelles Zone Industrielle du Petit Parc 78920 Ecquevilly","78920","Ecquevilly"
"80835","Zac du Cornillon Nord - 93216 Saint-Denis Cedex","93216","Saint-Denis Cedex"
"81274","12 impasse Bernard Lyot Zac Beaupuy 85000 La Roche-sur-Yon","85000","La Roche-sur-Yon"
"82827","4 impasse des Landes Rousses - ZI la Croix des Chaumes 85170 Le POIRÉ Sur Vie","85170","Le POIRÉ Sur Vie"
"84191","21 rue des Fabriques ZI N° 4 97410 Saint-Pierre","97410","Saint-Pierre"
"84843","5 place de la Pyramide Tour Arya 92088 Paris la Défense Cedex","92088","Paris la Défense Cedex"
"84882","“La Gremellière” 72290 Courcebœufs","72290","Courcebœufs"
"85307","-14 rue des Entrepreneurs 59124 Escaudain","59124","Escaudain"
