id,adresse,postcode,city
"C2014002310999","","85600","Treize-Septiers"
"C2014002311000","","85340","Olonne-sur-Mer"
"C2014002311016","","85200","Pissotte"
"C2014002311029","","85500","Les Herbiers"
"C2014002311035","","85140","L'Oie"
"C2014002413975","","85310","La Chaize-le-Vicomte"
"C2014002413970","","85612","Montaigu CEDEX"
"C2014002414009","","85440","Talmont-Saint-Hilaire"
"C2014002414014","","85580","Grues"
"C2014002414036","","85612","Montaigu CEDEX"
"C2014002414034","","85190","Aizenay"
"C2014002414052","","85000","La Roche-sur-Yon"
"C2014002414068","","85500","Les Herbiers"
"C2014002414077","","85360","La Tranche-sur-Mer"
"C201400267853","","85200","Fontenay-le-Comte"
"C201400267854","","85140","Sainte-Florence"
"C201400267879","","85290","Mortagne-sur-Sèvre"
"C201400267891","","85600","Boufféré"
"C201400267889","","85190","Aizenay"
"C201400267918","","85120","La Châtaigneraie"
"C201400267929","","85280","La Ferrière"
"C201400267943","","85320","La Couture"
"C201400267946","","85450","La Taillée"
"C201400267966","","85330","Noirmoutier-en-l'Ã¿le"
"C201400267992","","85140","L'Oie"
"C201400268009","","85180","Château-d'Olonne"
"C201400268043","","85460","L'Aiguillon-sur-Mer"
"C201400268037","","85560","Longeville-sur-Mer"
"C201400268049","","85700","Pouzauges"
"C201400268044","","85240","Foussais-Payré"
"C201400268050","","85500","Les Herbiers"
"C201400268059","","85190","Beaulieu-sous-la-Roche"
"C201400268085","","85120","Breuil-Barret"
"C201400268086","","85130","Les Landes-Genusson"
"C201400268095","","85390","Mouilleron-en-Pareds"
"C201400268106","","85340","Olonne-sur-Mer"
"C2014002413929","","85612","Montaigu CEDEX"
"C2014002912635","","85460","L'Aiguillon-sur-Mer"
"C2014002912644","","85500","Les Herbiers"
"C2014002912642","","85690","Notre-Dame-de-Monts"
"C2014002912684","","85420","Oulmes"
"C2014002912695","","85190","Aizenay"
"C2014002912703","","85600","La Guyonnière"
"C2014002912771","","85450","Chaillé-les-Marais"
"C2014002912767","","85270","Saint-Hilaire-de-Riez"
"C2014002813851","","85000","La Roche-sur-Yon"
"C2014002813932","","85300","Soullans"
"C2014002813928","","85180","Château d'Olonne"
"C2014002813963","","85000","La Roche-sur-Yon"
"C2014002813962","","85470","Bretignolles-sur-Mer"
"C2014002813981","","85130","La Verrie"
"C2014002813993","","85300","Soullans"
"C2014002814000","","85501","Les Herbiers Cedex"
"C2014002813998","","85170","Dompierre-sur-Yon"
"C2014002814012","","85210","Saint-Étienne-de-Brillouet"
"C2014002814051","","85490","Benet"
"C2014002814061","","85590","Les Epesses"
"C2014002814074","","85220","Saint-Révérend"
"C2014002814072","","85560","Longeville-sur-Mer"
"C2014002814093","","85360","La Tranche-sur-Mer"
"C2014002814092","","85230","Bouin"
"B201302351465","","",""
"B201302351471","","85600","Saint-Hilaire-de-Loulay"
"B201302371845","","85200","Fontenay-le-Comte"
"B201302371843","","85350","L'Ile-d'Yeu"
"C201400645146","","85260","L'Herbergement"
"C201400645198","","85260","L'Herbergement"
"C201400645201","","85110","Saint-Germain-de-Prinçay"
"C201400645208","","85120","La Châtaigneraie"
"C201400645209","","85600","La Boissière-de-Montaigu"
"C201400645210","","85130","La Verrie"
"C201400627052","","85460","L'Aiguillon-sur-Mer"
"C201400627065","","85800","Le Fenouiller"
"C201400627088","","85300","Challans"
"C201400627150","","85600","Montaigu"
"C201400627152","","85612","Montaigu Cedex"
"C201400627160","","85260","L'Herbergement"
"C201400627170","","85100","Les Sables d'Olonne"
"C201400627179","","85270","Saint-Hilaire-de-Riez"
